Longitude;Latitude
-95.476948;30.332313
-97.686009;30.362106
-95.498253;30.32658
-91.12348;30.369403
-97.707544;30.314709
-97.754228;30.353846
-90.983556;30.330183
-95.358226;30.332412
-95.467157;30.334599
-90.980908;30.325699
-95.485146;30.042346
-95.270218;30.001115
-95.163736;29.997957
-95.173039;29.998329
-90.164565;30.008099
-95.379985;30.020309
-95.487055;30.038409
-95.512754;30.027086
-91.817225;30.005721
-95.527746;30.024408
-90.198711;30.016854
-95.458908;30.009699
-95.522995;30.020474
-90.168856;30.003853
-95.532855;30.00154
-95.412112;29.706303
-95.644052;29.703918
-95.399167;29.68525
-95.474673;29.705515
-95.42122;29.725523
-95.401115;29.709912
-95.43428;29.688238
-95.689112;29.708699
-95.426584;29.706002
-95.56917;29.704024
-95.640304;29.704142
-93.269986;31.095245
-97.419279;31.118296
-97.18638;31.53256
-97.673767;31.07363
-97.209028;31.484698
-94.653114;31.602442
-97.159926;31.530469
-97.720337;31.089427
-97.171191;31.527655
-97.731981;31.093153
-92.458116;31.279396
-97.363375;31.085506
-89.287056;31.32628
-97.4576;31.080963
-97.191893;31.531367
-94.709662;31.368967
-95.458841;30.207058
-95.505754;30.230485
-95.52865;30.208973
-95.571425;30.220814
-90.920763;30.243629
-89.787705;30.258163
-90.989926;30.261544
-97.753387;30.269816
-97.117382;32.940996
-96.80344;32.930313
-97.22708;32.934344
-96.662535;32.93031
-97.125117;32.940949
-96.768795;32.952997
-96.855737;32.937851
-97.184415;32.938505
-97.151516;32.941532
-97.134017;32.944613
-96.952013;32.93396
-90.003892;34.964487
-92.06664;34.944681
-92.351374;34.768759
-96.649332;34.782826
-95.769735;34.930785
-92.4162;34.798362
-92.409258;34.754082
-89.985122;34.825267
-90.147905;34.831091
-95.221734;29.612741
-95.477649;29.677855
-95.618798;29.634319
-95.664761;29.590235
-90.742436;29.590387
-95.185134;29.650749
-95.171101;29.649541
-95.743513;29.620609
-95.528284;29.671083
-90.72511;29.596823
-95.526537;33.660986
-88.206912;34.497587
-96.404635;34.004864
-94.088976;33.458595
-96.614192;33.643275
-95.511436;33.661197
-94.080417;33.439918
-93.056587;34.652707
-88.703183;34.313981
-96.586842;33.763355
-93.128616;34.47118
-97.138236;33.23087
-97.139774;34.186946
-92.028242;34.201783
-93.057874;34.462556
-96.177842;33.575982
-97.369072;31.07064
-97.67705;30.649149
-97.69157;30.662525
-97.416003;30.579345
-97.70178;30.688089
-95.571835;30.718159
-88.136448;30.67601
-97.535364;30.544977
-91.150295;30.647819
-89.656056;30.546247
-95.549781;30.70483
-97.686116;30.644605
-97.372725;31.071713
-93.997244;30.910223
-96.316006;30.61757
-90.363872;29.985975
-93.985009;29.953809
-90.140363;29.986808
-95.672931;29.962101
-91.802408;29.993225
-95.621282;29.995568
-90.06331;29.959469
-95.21682;29.979643
-95.582976;29.966952
-90.183215;29.958256
-95.308249;29.985556
-97.13172;32.750896
-96.008171;32.708004
-97.385675;32.741051
-97.195444;32.682826
-96.835285;32.709809
-97.093454;32.708127
-97.414688;32.67991
-97.38732;32.70844
-97.367143;32.75128
-97.00688;32.673174
-97.394561;32.681998
-97.43511;32.748992
-96.874993;32.739792
-97.360323;32.706935
-97.768885;30.19164
-93.217774;30.198293
-95.178834;30.05078
-95.447594;30.126649
-95.450431;30.126811
-93.228133;30.198285
-95.629209;30.078616
-95.429424;30.077458
-94.143573;30.084224
-91.999074;30.167161
-95.627984;30.075999
-94.172111;30.072548
-90.496335;30.072641
-95.186503;30.049392
-96.396437;30.146302
-95.431688;30.050233
-93.747664;30.124576
-93.232317;30.169254
-95.630594;30.087879
-97.35764;30.104078
-94.795805;30.05809
-95.64699;29.835923
-95.645374;29.879675
-95.720547;29.863486
-94.906174;29.797676
-95.429504;29.82732
-95.384702;29.860022
-90.03892;29.894362
-97.106153;33.184595
-96.661765;33.100624
-96.685722;33.174068
-97.260809;33.101349
-96.730953;33.100753
-97.048077;33.07753
-97.042364;33.129996
-96.664657;33.168116
-96.883441;33.07718
-96.889603;33.153379
-96.75012;33.07204
-94.160856;33.112973
-96.700168;33.100902
-96.696479;33.174183
-96.805726;33.114093
-96.630155;33.197279
-97.082471;33.069137
-96.64314;33.162671
-97.148088;33.229494
-96.887514;33.172364
-95.601377;33.131312
-96.804525;33.143552
-96.769465;33.071883
-96.705659;33.199133
-96.805417;33.095581
-96.805477;33.114995
-96.803224;33.154184
-96.883441;33.07718
-97.597405;33.215676
-97.170291;26.123575
-97.4589;25.925226
-97.387331;27.709871
-97.671911;26.171384
-97.221865;27.620052
-97.397481;27.692111
-97.389213;27.688029
-97.383605;27.747464
-96.717324;32.975549
-96.716973;32.976819
-96.615603;32.9582
-96.765602;32.978115
-96.820782;32.960146
-96.769811;32.978361
-96.994141;32.969449
-96.993476;32.9681
-96.825301;32.961572
-96.797026;32.999382
-97.207327;32.998604
-96.665184;32.978118
-96.886878;32.997229
-96.841985;32.410426
-90.123575;32.409347
-95.405891;32.501139
-88.705314;32.409132
-96.838122;32.381614
-90.112384;32.459533
-93.740564;32.48183
-93.719831;32.445288
-90.131987;32.423448
-96.823448;32.605444
-97.117908;32.605566
-96.935787;32.604382
-97.134821;32.650704
-97.132552;32.577791
-94.751351;32.541983
-94.782853;32.524483
-96.822563;32.514599
-94.367362;32.545989
-97.0653;32.660914
-97.3296;32.542635
-97.365335;32.652046
-97.134344;32.671594
-96.856996;32.596694
-97.371217;32.580872
-97.472548;32.670033
-94.973924;35.907171
-97.567119;35.595098
-95.021072;35.848596
-95.939913;36.045255
-88.832989;35.654049
-97.636887;35.557454
-88.856314;35.688523
-88.856119;35.683825
-90.679577;35.821255
-97.5673;35.612081
-95.381586;35.753403
-97.494347;35.667447
-95.340354;35.727929
-95.751445;29.760282
-95.483358;29.759713
-95.450057;29.795036
-95.751569;29.771785
-95.558415;29.773714
-95.544733;29.792863
-96.968363;33.010223
-96.994072;33.042662
-97.028057;33.042092
-96.828898;32.99963
-96.712165;33.040909
-96.795829;33.002303
-97.067238;33.035491
-96.70059;33.018379
-96.83492;33.027693
-96.992835;33.019071
-96.830279;33.045303
-97.070493;33.034895
-96.733883;33.016548
-97.003007;33.014902
-90.867804;32.331987
-90.873505;32.302101
-95.265726;32.33238
-95.853655;32.199359
-95.306678;32.284964
-88.668284;32.358747
-95.302605;32.291654
-95.302892;32.290645
-97.408062;32.339937
-95.310451;32.303688
-90.17442;32.335822
-97.385771;32.347057
-97.565641;35.540692
-97.54607;35.377112
-97.530136;35.394654
-97.65172;35.493308
-89.78386;35.445982
-95.349085;29.559042
-95.079058;29.450944
-95.426807;29.012752
-97.042556;28.043426
-95.421438;29.019756
-95.114823;29.53779
-94.79081;29.298859
-95.564936;29.566179
-95.095419;29.462419
-95.084681;29.518116
-97.202225;27.878501
-95.084681;29.518116
-95.058782;29.569226
-95.106951;29.545707
-95.372528;29.556191
-95.081817;29.446947
-95.630995;29.583502
-97.324662;27.883216
-95.140532;29.561794
-90.688586;29.577233
